_id,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
94,SWOD-AHQPLH,Ming Yan Seafood Restaurant,3238 King George Blvd,Surrey,Restaurant,49.0609436,-122.81190491
95,GEDS-6GTQ2V,Starbucks Coffee #4596,3278 King George Blvd,Surrey,Restaurant,49.06115723,-122.81214905
96,SHEN-AASVAD,Elvis Pizza,14916 104 Ave,Surrey,Restaurant,49.19133759,-122.80825043
97,GEDS-7TBT7Q,Arirang Korean Restaurant,14916 104 Ave,Surrey,Restaurant,49.19133759,-122.80825043
98,SHEN-B5KPPF,Chatime,2950 King George Blvd,Surrey,Restaurant,49.05568314,-122.80555725
99,NDAA-9CXRN3,New York Fries,10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
100,NDAA-9EFTEB,Vina,10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
101,NDAA-9BHTGZ,Kung Pao Wok,10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
102,ACAK-9BEV2L,Tim Hortons #4457,10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
103,NDAA-A9KPX4,Easy Grill,10355 152 St,Surrey,Restaurant,49.19192505,-122.80426788
104,A018399    ,Tim Hortons #2173,3077 152 St,Surrey,Restaurant,49.05767822,-122.80210876
105,NDAA-9DSUU7,Panda Szechuan,3099 152 St,Surrey,Restaurant,49.05809021,-122.80213928
106,SHEN-ALTU9K,Boom Bee,15155 101 Ave,Surrey,Restaurant,49.18629837,-122.80223083
107,GEDS-7ENSTB,Orange Julius (White Rock),1711 152 St,Surrey,Restaurant,49.03311539,-122.80166626
108,SHEN-AZETAN,Ding Sushi,6351 152 St,Surrey,Restaurant,49.11798096,-122.80127716
109,SWOD-AFGPCU,Pho 99 Vietnamese Noodle House (Surrey),8934 152 St,Surrey,Restaurant,49.16515732,-122.80078125
110,GEDS-7FAR6Z,Omega Pizza & Wings (152nd St),9965 152 St,Surrey,Restaurant,49.18379211,-122.80126953
111,GEDS-6U4Q4B,Pizza Hut #31124,10160 152 St,Surrey,Restaurant,49.18699646,-122.80051422
112,HCAR-BD2LUG,Yi Fang Taiwan Fruit Tea Surrey,10224 152 St,Surrey,Restaurant,49.18792343,-122.80054474
113,HCAR-BRYMQR,Papa John's Pizza #009770 (Surrey),10320 152nd St,Surrey,Restaurant,49.19010913,-122.80059715
114,HCAR-BJTNUK,Popeyes Louisiana Kitchen (152nd St),1750 152 St,Surrey,Restaurant,49.03414536,-122.80097198
115,HCAR-AZYMYH,Rokku Asian Cuisine,1990 152 St,Surrey,Restaurant,49.03807449,-122.80052185
116,NDAA-APCP2Z,Showshaa,3020 152 St,Surrey,Restaurant,49.05722046,-122.80084991
117,JDSO-AD4RB8,Garcha Bros Meat Store,15299 68 Ave,Surrey,Restaurant,49.12656403,-122.79923248
118,GEDS-7XFNQZ,Non Stop Pizza & Surrey Delta Tiffin Delivery Service,15272 Fraser Hwy,Surrey,Restaurant,49.16507339,-122.79930878
119,GEDS-78NVVM,Ba Le Deli & Sandwiches,15277 100 Ave,Surrey,Restaurant,49.18444061,-122.79878998
120,GEDS-7R4TU5,Hi Japanese Sushi,3388 Rosemary Heights Cres,Surrey,Restaurant,49.06333542,-122.798172
121,NDAA-94XQKE,Domino's Pizza #10037,15335 No 10 Hwy,Surrey,Restaurant,49.1046896,-122.79808571
122,A020358    ,Hannam Supermarket (Deli),15357 104 Ave,Surrey,Restaurant,49.1917038,-122.79665375
123,ACAK-8UDNUP,Newton Pizza (South Surrey),2570 King George Blvd,Surrey,Restaurant,49.04892349,-122.79711151
124,SHEN-AMWPLX,Maple Sushi Japanese Restaurant,2385 King George Blvd,Surrey,Restaurant,49.04487991,-122.79424286
125,HCAR-BCSP3M,KW Gardens Chinese Restaurant,2338 King George Blvd,Surrey,Restaurant,49.04476547,-122.79212189
126,A016980    ,Fleetwood Park Secondary School,7940 156 St,Surrey,Restaurant,49.14718628,-122.7898407
127,HCAR-BCGU3R,AFC Sushi - Thrifty Foods 24,15745 Croydon Dr,Surrey,Restaurant,49.04809189,-122.78588104
